id	file	mimetype	name	researchPhase	documentType	article	location	locationgeo	date																		
descr	file location	nom qui apparaît sur le site	indicates what the website shall do with the file [tei	 pdf	 htm	 csv	 link	 ref]	[prep	 col	 anal	 ese	 compl]	[admi	 audio	 docu	 icono	 inter	 methodo	 note	 publi	 revis	 transcr]			coordonnées GPS	DD/MM/YY
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal40_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal40_vi.xml	tei	Transcription de l'entretien avec Yvette Roudy	col	transcr	entretienindiv	Paris France	48.862305,2.318828	2002-02-07																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal41_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal41_vi.xml	tei	Transcription de l'entretien avec Jean-Claude Sandrier	col	transcr	entretienindiv	Paris France	48.862306,2.318829	2003-02-04																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal42_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputefr_paraverbal42_vi.xml	tei	Transcription de l'entretien avec Henri Sicre	col	transcr	entretienindiv	Paris France	48.862307,2.31883	2002-02-13																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal71_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal71_vi.xml	tei	Transcription de l'entretien avec Denis Badré	col	transcr	entretienindiv	Paris France	48.849291,2.33734	2001-12-18																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal72_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal72_vi.xml	tei	Transcription de l'entretien avec Robert Del Picchia	col	transcr	entretienindiv	Paris France	48.849292,2.33735	2001-10-30																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal73_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal73_vi.xml	tei	Transcription de l'entretien avec Hubert Durand-Chastel	col	transcr	entretienindiv	Paris France	48.849293,2.33736	2001-11-26																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal74_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal74_vi.xml	tei	Transcription de l'entretien avec Pierre Fauchon	col	transcr	entretienindiv	Paris France	48.849294,2.33737	2000-05-02																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal75_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal75_vi.xml	tei	Transcription de l'entretien avec Jean François-Poncet	col	transcr	entretienindiv	Paris France	48.849295,2.33738	2002-03-20																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal76_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal76_vi.xml	tei	Transcription de l'entretien avec Yann Gaillard	col	transcr	entretienindiv	Paris France	48.849296,2.33739	2001-11-14																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal77_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_senat_paraverbal77_vi.xml	tei	Transcription de l'entretien avec Daniel Hoeffel	col	transcr	entretienindiv	Paris France	48.849297,2.3374	2002-03-05																		
